,Median Age,Population,White,Black,Asian,Hispanic,Poverty Count,Household Income,Per Capita Income,Zip Code,Review Count,Price,Average Rating
265,41.2,46565,10974,422,27860,13052,5773,61740,26068,91748,9471,,4.082567839
266,42.6,34156,25594,1548,2578,11598,2681,78375,35953,91750,6321,,4.19775352
267,34.5,29801,16721,2009,1990,17755,3413,64960,23231,91752,4114,,4.26895965
268,43.2,33514,5280,125,20249,10908,5115,58833,28236,91754,15088,,4.092788971
269,44.6,27487,4005,130,19506,6409,4948,48350,24204,91755,12009,,4.066408527
270,50.5,417,404,4,4,35,9,56250,38366,91759,3294,,4.298573163
271,32.5,59933,28827,3532,3998,41667,7817,65154,21538,91761,2987,,4.121359223
272,32.5,58223,27416,3498,2668,41427,10463,50309,18560,91762,6698,,4.059570021
273,32.4,37786,15023,1288,3797,26396,6698,50573,18379,91763,7901,,4.048728009
274,30.9,54303,26806,3447,2895,39005,10805,50728,18807,91764,11397,,4.226770203
275,42.1,47493,13682,2175,24688,9178,2772,90690,34894,91765,5653,,4.425084026
276,30.1,72100,43915,3570,7795,53305,14934,50412,17054,91766,6871,,4.151360792
277,33,49483,30888,4235,4071,32539,10051,52184,19883,91767,10414,,4.099673516
278,27.6,36365,17239,2503,2388,25998,7949,46964,15613,91768,3924,,4.321355759
279,41.4,63552,12604,167,37619,22313,12268,46862,18355,91770,14837,,4.086473007
280,41.6,34222,22560,1037,4854,11426,2559,78799,35217,91773,4892,,4.155253475
281,43.4,25389,8212,308,12695,6448,2055,79637,34581,91775,12631,,4.124059853
282,41.5,37843,6280,260,24594,9671,5730,49443,21295,91776,14915,,4.089239021
283,42.4,35674,8556,330,20576,7941,4180,62461,26540,91780,11559,,4.024180292
284,46.7,25999,19460,836,3104,6125,1184,102209,45419,91784,5117,,4.348739496
285,34.7,52951,29633,3677,3549,25331,10658,51651,24184,91786,7090,,4.236812412
286,43.5,43973,10993,1187,26551,9483,3121,93231,35137,91789,9966,,4.468994582
287,36.6,46374,17385,1308,9801,28867,4389,72746,23366,91790,7157,,4.228098365
288,38.5,33484,14298,1486,8833,17079,2948,73917,28614,91791,10221,,4.1802172
289,36.8,29493,7397,1673,12420,12970,3957,67843,25115,91792,7043,,4.350986795
290,40.4,55265,12028,1306,28032,20118,9210,51867,26001,91801,14634,,4.078652453
